DOI,Aesthetic Metrics,Aesthetic Resolution,Aesthetic Tag,Aesthetic cleanup,Application Domain,Authors,Bibtex Key,Checked By,Cleaned-Up Venue,Collect,Constraints,Doubt,Drawing Dimensionality,Duplicate,Evaluation Methodology,Filled in by,Graph Feature Clean-up,Graph Features,Highlight,How Was the Optimization Achieved?,Keep,Last edited by,Last edited time,Number of Graphs,Optimization Approach,Optimization Approach cleaned,Optimization Level,Paper Type,Place,Place 1,Read By,Source,Title,Type Tag,URL,Venue,Visualization Type,Visualization Type cleanup,Year,|E| Range,|V| Range
NA,"Edge Crossings, Grid Alignment",Drawing,Edge Crossings,,Agnostic,"Purchase, Helen C., Plimmer, Beryl, Baker, Rosemary, Pilcher, Christopher",purchase_graph_2010,"Henry, Sara",Proceedings of the Australasian Conference on User Interface - Volume 106,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), User Study (Qualitative), User Study (Quantitative)",Natkamon,Simple,Simple Graph,No,Hand-drawn,Yes,Diana Marin,"October 15, 2025 5:50 PM",34,Hand-drawn,,Drawing,Evaluation,,,Natkamon,ACM,Graph drawing aesthetics in user-sketched graph layouts,,https://dl.acm.org/doi/10.5555/1862280.1862292,Proceedings of the Eleventh Australasian Conference on User Interface - Volume 106,Node-Link Diagram,Node-Link,2010,14-18,10
NA,"Bends, Edge Length, Flow Direction, Line Orthogonality, Node Distribution, Normalized Edge Length Variation, Symmetry",Drawing,"Edge Length, Overlap",,UML,"Purchase, Helen C., McGill, Matthew, Colpoys, Linda, Carrington, David",purchase_graph_2001,"Henry, Sara",Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 9,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,User Study (Quantitative),Diana,Simple,Simple Graph,No,,Yes,Diana Marin,"October 15, 2025 5:51 PM",50,None,,None,Evaluation,,,Natkamon,ACM,Graph drawing aesthetics and the comprehension of UML class diagrams: an empirical study,,https://courses.ischool.berkeley.edu/i247/f05/readings/Purchase_UML_OzIV01.pdf,Proceedings of the 2001 Asia-Pacific Symposium on Information Visualisation - Volume 9,Node-Link Diagram,Node-Link,2001,,
10.1145/1865841.1865854,"Crossing Angle, Crossing Number",Drawing,"Crossing Resolution, Edge Crossings",Crossings,Agnostic,"Huang, Weidong, Huang, Maolin",huang_exploring_2010,"Henry, Sara",Proceedings of the International Symposium on Visual Information Communication,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,User Study (Quantitative),Natkamon,Simple,Simple Graph,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:51 PM",200,Heuristic (force-directed),Heuristic,Drawing,Evaluation,,,Natkamon,ACM,Exploring the relative importance of crossing number and crossing angle,,https://doi.org/10.1145/1865841.1865854,Proceedings of the 3rd International Symposium on Visual Information Communication,Node-Link Diagram,Node-Link,2010,,10-50
NA,Mental Map Preservation,"Drawing, Node, Transition",,,Agnostic,"Lee, Yi-Yi, Lin, Chun-Cheng, Yen, Hsu-Chun",lee_mental_2006,"Henry, Sara",Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 60,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Run Time), Looking at Pictures, User Study (Quantitative)",Natkamon,Simple,Simple Graph,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:51 PM",4,Heuristic (simulated annealing),Heuristic,Layout,Algorithm,,,Natkamon,ACM,Mental map preserving graph drawing using simulated annealing,,https://www.sciencedirect.com/science/article/pii/S0020025511002799,Proceedings of the 2006 Asia-Pacific Symposium on Information Visualisation - Volume 60,Straight-Line Node-Link Diagram,Node-Link,2006,15-130,8-102
10.1145/1830483.1830616,,,,,,"Neta, Bernadete Maria de Mendon\c{c}a, Araujo, Gustavo Henrique Diniz, Guimar\~{a}es, Frederico Gadelha, Mesquita, Renato Cardoso",,"Henry, Sara",Proceedings of the Annual Conference on Genetic and Evolutionary Computation,,,No,,Yes,,,,,No,,No,Natkamon Tovanich,"September 19, 2025 12:34 PM",,,,,,,,Natkamon,ACM,A hybrid genetic algorithm for automatic graph drawing based on the topology-shape-metric approach.,,https://doi.org/10.1145/1830483.1830616,Proceedings of the 12th Annual Conference on Genetic and Evolutionary Computation,,,2010,,
10.1145/1294685.1294709,"Node Distribution, minimization of unused space, no collision between vertices",Drawing,Overlap,,Agnostic,"Dodo, Meva, Andriamanampisoa, Fenohery, Torguet, Patrice, Jessel, Jean Pierre",dodo_new_2007,Henry,"Proceedings of the International Conference on Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa",All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,3D,No,"Computational (Run Time), Looking at Pictures",Natkamon,Simple,Simple Graph,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:51 PM",6,Heuristic (force-directed),Heuristic,Layout,Algorithm,,,Natkamon,ACM,A new method to optimize the force-directed placement for 3D large graph drawing,,https://doi.org/10.1145/1294685.1294709,"Proceedings of the 5th International Conference on Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa",Straight-Line Node-Link Diagram,Node-Link,2007,,110-3153
NA,,,,,,"Eiglsperger, Markus, F\{o}\ss{}meier, Ulrich, Kaufmann, Michael",,Henry,Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,,,No,,No,,,,,No,,No,Diana Marin,"August 29, 2025 4:24 PM",,,,,,,,Natkamon,ACM,Orthogonal graph drawing with constraints,,https://dl.acm.org/doi/pdf/10.5555/338219.338225,Proceedings of the Eleventh Annual ACM-SIAM Symposium on Discrete Algorithms,,,2000,,
NA,"Crossings, Drawing Area, Edge Bends, Few dummy nodes, Few opposit edges (vertical and horizontal)",Drawing,"Edge Bends, Edge Crossings, Total Area",,Agnostic,"do Nascimento, Hugo A. D.",do_nascimento_framework_2001,Henry,Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 9,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,Yes,2D,No,"User Study (Qualitative), User Study (Quantitative)",Diana,Simple,Simple Graph,No,,Yes,Diana Marin,"October 15, 2025 5:51 PM",6,"Heuristic (sugiyama), Manual tweaks",Heuristic,Drawing,"Algorithm, Evaluation",,,Natkamon,ACM,A framework for human-computer interaction in directed graph drawing,,https://dl.acm.org/doi/abs/10.5555/564040.564048,Proceedings of the 2001 Asia-Pacific Symposium on Information Visualisation - Volume 9,Node-Link Diagram,Node-Link,2001,,
NA,"Crossings, Volume",Drawing,Edge Crossings,,,"Cohen, Robert F., Eades, Peter, Lin, Tao, Ruskey, Frank",cohen_volume_1994,Henry,Proceedings of the Conference of the Centre for Advanced Studies on Collaborative Research,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,3D,No,"Looking at Pictures, Proof",Diana,Simple,Simple Graph,No,,Yes,Diana Marin,"October 15, 2025 5:51 PM",,Exact (Proof),,Drawing,"Algorithm, Proof",,,Natkamon,ACM,Volume upper bounds for 3D graph drawing,,https://dl.acm.org/doi/pdf/10.5555/782185.782196,Proceedings of the 1994 Conference of the Centre for Advanced Studies on Collaborative Research,"Grid Drawing, Node-Link Diagram",Node-Link,1994,,
10.5555/962198.962200,,,,,,"Lyons, Kelly A.",,Henry,Proceedings of the Conference of the Centre for Advanced Studies on Collaborative Research - Volume 1,,,No,,No,,,,,No,,Yes,Natkamon Tovanich,"September 26, 2025 12:44 PM",,,,,Survey,,,Natkamon,ACM,Cluster busting in anchored graph drawing,,https://dl.acm.org/doi/pdf/10.5555/962198.962200,Proceedings of the 1992 Conference of the Centre for Advanced Studies on Collaborative Research - Volume 1,,,1992,,
10.1145/192309.192319,"Crossings, Distance to Drawing Space Borders, Edge Length, Vertex Distribution, Vertex-Edge Distance",Drawing,"Edge Crossings, Edge Length, Overlap",,Agnostic,"Harel, David, Sardas, Meir",harel_randomized_1994,Henry,Proceedings of the Workshop on Advanced Visual Interfaces,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Run Time), Looking at Pictures",Diana,Simple,Simple Graph,No,Data Augmentation,Yes,Diana Marin,"October 15, 2025 5:51 PM",4,"Heuristic (other), Heuristic (simulated annealing)",Heuristic,Data,"Algorithm, Evaluation",,,Natkamon,ACM,Randomized graph drawing with heavy-duty preprocessing,,https://doi.org/10.1145/192309.192319,Proceedings of the Workshop on Advanced Visual Interfaces,Node-Link Diagram,Node-Link,1994,68-112,37-50
10.1145/264216.264222,"Bends, Crossing Number, Symmetry",Drawing,Edge Crossings,Crossings,Agnostic,"Purchase, H. C., Cohen, R. F., James, M. I.",purchase_experimental_1997,"Henry, Sara",ACM J Exp Algorithmics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,User Study (Quantitative),Diana,Simple,Simple Graph,No,,Yes,Diana Marin,"October 15, 2025 5:51 PM",2,Manual,,Layout,Evaluation,,,Natkamon,ACM,An experimental study of the basis for graph drawing algorithms,,https://doi.org/10.1145/264216.264222,ACM J. Exp. Algorithmics,Node-Link Diagram,Node-Link,1997,18-28,16
10.1145/142675.142728,,,,,,"Cohen, R. F., Di Battista, G., Tamassia, R., Tollis, I. G., Bertolazzi, P.",,Henry,Proceedings of the Annual Symposium on Computational Geometry,,,No,,No,,,,,No,,No,Diana Marin,"August 29, 2025 3:09 PM",,,,,,,,Natkamon,ACM,A framework for dynamic graph drawing,,https://doi.org/10.1145/142675.142728,Proceedings of the Eighth Annual Symposium on Computational Geometry,,,1992,,
10.1145/220279.220312,"Area, Bends, Crossings, Max. Edge Bends, Max. Edge Length, Screen Ratio, Total Edge Length, UnifBends (std dev on # of bends), UnifLen (std dev on edge length)",Drawing,"Edge Bends, Edge Crossings, Edge Length, Total Area",,Agnostic,"Di Battista, Giuseppe, Garg, Ashim, Liotta, Giuseppe",di_battista_experimental_1995,Henry,Proceedings of the Annual Symposium on Computational Geometry,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Computational (Aesthetic),Diana,Simple,Simple Graph,No,,Yes,Diana Marin,"October 15, 2025 5:51 PM",11211582,None,,None,"Comparison, Dataset",,,Natkamon,ACM,An experimental comparison of three graph drawing algorithms (extended abstract),,https://doi.org/10.1145/220279.220312,Proceedings of the Eleventh Annual Symposium on Computational Geometry,Orthogonal Node-Link Diagram,Node-Link,1995,,10-100
10.1145/1279640.1279642,,,,,,"Ware, Colin, Mitchell, Peter",,Henry,ACM Trans Appl Percept,,,No,,No,,,,,No,,No,Henry Ehlers,"August 20, 2025 3:37 PM",,,,,,,,Natkamon,ACM,Visualizing graphs in three dimensions,,https://doi.org/10.1145/1279640.1279642,ACM Trans. Appl. Percept.,,,2008,,
10.5555/979922.979966,"Compactness, Node Overlap",Drawing,Overlap,,Agnostic,"Friedrich, Carsten, Schreiber, Falk",friedrich_flexible_2004,Henry,Proceedings of the Australasian Conference on Computer Science - Volume 26,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Computational (Aesthetic),Natkamon,"Hierarchy, Layered","Hierarchical, Layered Graph",No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:37 PM",2000,Heuristic (other),,Layout,Algorithm,,,Natkamon,ACM,Flexible layering in hierarchical drawings with nodes of arbitrary size,,https://dl.acm.org/doi/pdf/10.5555/979922.979966,Proceedings of the 27th Australasian Conference on Computer Science - Volume 26,Layered Graph,Node-Link,2004,,10-200
10.1145/97243.97250,,,,,,"Böhringer, Karl-Friedrich; Paulisch, Frances Newbery",,Henry,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,No,,No,,,,,No,,No,Henry Ehlers,"August 20, 2025 3:36 PM",,,,,,,,Natkamon,ACM,Using constraints to achieve stability in automatic graph layout algorithms,,https://doi.org/10.1145/97243.97250,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,1990,,
10.1145/1385569.1385613,,,,,,"Spritzer, Andre Suslik, Freitas, Carla M. D. S.",,Henry,Proceedings of the Working Conference on Advanced Visual Interfaces,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 5:06 PM",,,,,,,,Natkamon,ACM,A physics-based approach for interactive manipulation of graph visualizations,,https://doi.org/10.1145/1385569.1385613,Proceedings of the Working Conference on Advanced Visual Interfaces,,,2008,,
10.5555/1378337.1378354,"Edge Crossings, Mental Map Preservation, Node Motion, Node Overlap",Drawing,"Edge Crossings, Overlap",,Agnostic,"Saffrey, Peter, Purchase, Helen",saffrey_mental_2008,Henry,Proceedings of the Conference on Australasian User Interface - Volume 76,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"User Study (Qualitative), User Study (Quantitative)",Natkamon,Dynamic,Dynamic (Discrete),No,Layout Algorithm,Yes,Velitchko Filipov,"October 15, 2025 1:42 PM",,Heuristic (force-directed),Heuristic,Layout,"Algorithm, Evaluation",,,Natkamon,ACM,The mental map versus static aesthetic compromise in dynamic graphs: a user study,,https://dl.acm.org/doi/10.5555/1378337.1378354,Proceedings of the Ninth Conference on Australasian User Interface - Volume 76,Straight-Line Node-Link Diagram,Node-Link,2008,,
10.1145/1066677.1066950,"Edge Crossings, Edge Length",Drawing,"Edge Crossings, Edge Length",,Ecological Networks,"Yoon, Ilmi, Yoon, Sanghyuk, Martinez, Neo, Williams, Rich, Dunne, Jennifer",yoon_interactive_2005,Henry,Proceedings of the ACM Symposium on Applied Computing,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,Yes,3D,No,Looking at Pictures,Diana,Simple,Simple Graph,No,"Clustering, Layout Algorithm",Yes,Diana Marin,"October 15, 2025 5:51 PM",6,Heuristic (other),,Drawing,"Algorithm, Evaluation",,,"Henry, Sara",ACM,Interactive 3D visualization of highly connected ecological networks on the WWW,,https://doi.org/10.1145/1066677.1066950,Proceedings of the 2005 ACM Symposium on Applied Computing,Node-Link Diagram,Node-Link,2005,172-2375,154-289
10.1145/1518701.1519056,,,,,,"Moscovich, Tomer, Chevalier, Fanny, Henry, Nathalie, Pietriga, Emmanuel, Fekete, Jean-Daniel",,Henry,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 5:01 PM",,,,,,,,Natkamon,ACM,Topology-aware navigation in large networks,,https://doi.org/10.1145/1518701.1519056,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,2009,,
10.1145/1529282.1529685,"Drawing Area, Label Readability, Node Overlap, Node Separation, Symmetry",Drawing,"Overlap, Total Area",,Agnostic,"Kumar, Pushpa, Zhang, Kang",kumar_visualization_2009,Henry,Proceedings of the ACM Symposium on Applied Computing,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Comparison, Computational (Aesthetic)",Natkamon,,"Clustered Graph, Directed Acyclic Graphs",No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:45 PM",,Heuristic (force-directed),Heuristic,Layout,Algorithm,,,Natkamon,ACM,Visualization of clustered directed acyclic graphs with node interleaving,,https://doi.org/10.1145/1529282.1529685,Proceedings of the 2009 ACM Symposium on Applied Computing,Node-Link Diagram,Node-Link,2009,,1-160
NA,,,,,,"Merrick, Damian, Gudmundsson, Joachim",,Henry,Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 60,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 4:57 PM",,,,,,,,Natkamon,ACM,Increasing the readability of graph drawings with centrality-based scaling,,https://dl.acm.org/doi/pdf/10.5555/1151903.1151914,Proceedings of the 2006 Asia-Pacific Symposium on Information Visualisation - Volume 60,,,2006,,
NA,Node Overlap,Drawing,Overlap,,Agnostic,"Li, Wanchun, Eades, Peter, Nikolov, Nikola",li_using_2005,Henry,Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 45,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Computational (Run Time)",Diana,Simple,"Labeled Nodes, Simple Graph",No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:51 PM",6,Heuristic (force-directed),Heuristic,Drawing,"Algorithm, Comparison, Evaluation",,,Natkamon,ACM,Using spring algorithms to remove node overlapping,,https://dl.acm.org/doi/pdf/10.5555/1082315.1082334,Proceedings of the 2005 Asia-Pacific Symposium on Information Visualisation - Volume 45,Node-Link Diagram,Node-Link,2005,,7-44
10.1145/1377966.1377970,"Cognitive Load, Efficiency, User Preference",Drawing,,,Social Networks,"Huang, Weidong, Eades, Peter, Hong, Seok-Hee",huang_beyond_2008,Henry,Proceedings of the Workshop on BEyond Time and Errors: Novel EvaLuation Methods for Information Visualization,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,User Study (Qualitative),Natkamon,Simple,Simple Graph,Yes,None,Yes,Diana Marin,"October 15, 2025 5:51 PM",,None,,None,Evaluation,,,Natkamon,ACM,Beyond time and error: a cognitive approach to the evaluation of graph drawings,,https://doi.org/10.1145/1377966.1377970,Proceedings of the 2008 Workshop on BEyond Time and Errors: Novel EvaLuation Methods for Information Visualization,Node-Link Diagram,Node-Link,2008,,
10.5555/1082315.1082324,"Edge Crossings, Edge Density, Path Straightness",Drawing,Edge Crossings,,Agnostic,"Huang, Weidong, Eades, Peter",huang_how_2005,Henry,Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 45,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,User Study (Quantitative),Natkamon,Simple,Simple Graph,Yes,None,Yes,Diana Marin,"October 15, 2025 5:51 PM",12,None,,None,Evaluation,,,Natkamon,ACM,How people read graphs,,https://dl.acm.org/doi/pdf/10.5555/1082315.1082324,Proceedings of the 2005 Asia-Pacific Symposium on Information Visualisation - Volume 45,Node-Link Diagram,Node-Link,2005,≤11,≤15
10.1145/1556460.1556497,,,,,,"Smith, Marc A., Shneiderman, Ben, Milic-Frayling, Natasa, Mendes Rodrigues, Eduarda, Barash, Vladimir, Dunne, Cody, Capone, Tony, Perer, Adam, Gleave, Eric",,Henry,Proceedings of the International Conference on Communities and Technologies,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 4:54 PM",,,,,,,,"Henry, Sara",ACM,Analyzing (social media) networks with NodeXL,,https://doi.org/10.1145/1556460.1556497,Proceedings of the Fourth International Conference on Communities and Technologies,,,2009,,
10.5555/1151903.1151932,"Edge Crossings, Minimization of Used Space, No Vertex Collisions, Vertex Distribution",Drawing,"Edge Crossings, Overlap",,Computer Networks,"Huang, Weidong, Hong, Seok-Hee, Eades, Peter",huang_how_2006,Henry,Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 60,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,3D,No,"Computational (Run Time), Looking at Pictures",Diana,"Simple, Tree","Simple Graph, Tree",No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:51 PM",6,Heuristic (force-directed),Heuristic,Drawing,"Algorithm, Evaluation",,,Natkamon,ACM,How people read sociograms: a questionnaire study,,https://dl.acm.org/doi/pdf/10.5555/1151903.1151932,Proceedings of the 2006 Asia-Pacific Symposium on Information Visualisation - Volume 60,Node-Link Diagram,Node-Link,2006,,110-3153
10.1145/1810959.1810972,,,,,,"Cabello, Sergio, Mohar, Bojan",,Henry,Proceedings of the Twenty- Annual Symposium on Computational Geometry,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 4:52 PM",,,,,,,,Natkamon,ACM,Adding one edge to planar graphs makes crossing number hard,,https://doi.org/10.1145/1810959.1810972,Proceedings of the Twenty-Sixth Annual Symposium on Computational Geometry,,,2010,,
10.1145/1377676.1377739,,,,,,"Dujmovic, Vida, Kawarabayashi, Ken-ichi, Mohar, Bojan, Wood, David R.",,Sara,Proceedings of the Twenty- Annual Symposium on Computational Geometry,,,No,,No,,,,,No,,No,Sara Di Bartolomeo,"August 18, 2025 4:09 PM",,,,,,,,Natkamon,ACM,Improved upper bounds on the crossing number,,https://doi.org/10.1145/1377676.1377739,Proceedings of the Twenty-Fourth Annual Symposium on Computational Geometry,,,2008,,
NA,,,,,,"Li, Wanchun, Takatsuka, Masahiro",,Henry,Proceedings of the Australasian Symposium on Information Visualisation - Volume 35,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 4:50 PM",,,,,,,,Natkamon,ACM,Adding filtering to geometric distortion to visualize a clustered graph on small screens,,https://dl.acm.org/doi/pdf/10.5555/1082101.1082110,Proceedings of the 2004 Australasian Symposium on Information Visualisation - Volume 35,,,2004,,
10.1109/TCBB.2010.57,"Crossing Number, Spearman’s footrule distance",Drawing,Edge Crossings,Crossings,Biology,"Venkatachalam, Balaji, Apple, Jim, St. John, Katherine, Gusfield, Daniel",venkatachalam_untangling_2010,Henry,IEEE/ACM Trans Comput Biol Bioinformatics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,Yes,"Complexity, Computational (Run Time)","Natkamon, Velitchko",Tree,Binary Tree,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:21 PM",,"Exact (ILP), Heuristic (other)",Exact,Drawing,Algorithm,,,Natkamon,ACM,Untangling Tanglegrams: Comparing Trees by Their Drawings,,https://doi.org/10.1109/TCBB.2010.57,IEEE/ACM Trans. Comput. Biol. Bioinformatics,Tanglegram,"Node-Link, Tree",2010,,
10.1109/TCBB.2008.58,Edge Crossings,Drawing,Edge Crossings,,Phylogenetic networks,"Huson, Daniel H.",huson_drawing_2009,Henry,IEEE/ACM Trans Comput Biol Bioinformatics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,Yes,Looking at Pictures,Diana,Tree,"Rooted Tree, Tree",No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:03 PM",,Exact (Algorithm),Exact,Drawing,Algorithm,,,Natkamon,ACM,Drawing Rooted Phylogenetic Networks,,https://doi.org/10.1109/TCBB.2008.58,IEEE/ACM Trans. Comput. Biol. Bioinformatics,Node-Link Diagram,Node-Link,2009,,
10.1145/1317353.1317362,,,,,,"Deligiannidis, Leonidas, Kochut, Krys J., Sheth, Amit P.",,Henry,Proceedings of the ACM Workshop on CyberInfrastructure: Information Management in EScience,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 4:46 PM",,,,,,,,Natkamon,ACM,RDF data exploration and visualization,,https://doi.org/10.1145/1317353.1317362,Proceedings of the ACM First Workshop on CyberInfrastructure: Information Management in EScience,,,2007,,
NA,,,,,,"Song, Le, Takatsuka, Masahiro",,Henry,Proceedings of the Australasian Conference on User Interface - Volume 40,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 4:39 PM",,,,,,,,Natkamon,ACM,Real-time 3D finger pointing for an augmented desk,,https://dl.acm.org/doi/10.5555/1082243.1082256,Proceedings of the Sixth Australasian Conference on User Interface - Volume 40,,,2005,,
10.1145/634067.634137,,,,,,"Carpendale, M. S. T., Rong, X.",,Henry,CHI '01 Extended Abstracts on Human Factors in Computing Systems,,,No,,No,,,,,No,,No,Diana Marin,"August 29, 2025 4:58 PM",,,,,,,,Natkamon,ACM,Examining edge congestion,,https://doi.org/10.1145/634067.634137,CHI '01 Extended Abstracts on Human Factors in Computing Systems,,,2001,,
NA,,,,,,"Churcher, Neville, Creek, Alan",,Henry,Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 9,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 4:37 PM",,,,,,,,Natkamon,ACM,Building virtual worlds with the big-bang model,,NA,Proceedings of the 2001 Asia-Pacific Symposium on Information Visualisation - Volume 9,,,2001,,
10.1145/1064546.1180618,Minimum Width,Drawing,Width,,Agnostic,"Nikolov, Nikola S.; Tarassov, Alexandre; Branke, Jürgen",nikolov_search_2005,Henry,ACM J Exp Algorithmics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Computational (Run Time)",Natkamon,"Acyclic, Directed",Directed Acyclic Graphs,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:45 PM",6000,Heuristic (sugiyama),Heuristic,Layout,Algorithm,,,Natkamon,ACM,In search for efficient heuristics for minimum-width graph layering with consideration of dummy nodes,,https://doi.org/10.1145/1064546.1180618,ACM J. Exp. Algorithmics,Layered Graph,Node-Link,2005,,
10.1145/1871940.1871947,,,,,,"Pardillo, Jesus; Mansmann, Florian",,Henry,Proceedings of the ACM International Workshop on Data Warehousing and,,,No,,Yes,,,,,No,,No,Natkamon Tovanich,"September 19, 2025 1:03 PM",,,,,,,,Natkamon,ACM,Towards readable layouts for modeling data warehouses,,https://doi.org/10.1145/1871940.1871947,Proceedings of the ACM 13th International Workshop on Data Warehousing and OLAP,,,2010,,
10.1145/263407.263521,"Node-edge overlap, Node-node overlap",Drawing,Overlap,,,"Ryall, Kathy, Marks, Joe, Shieber, Stuart",ryall_interactive_1997,"Henry, Sara",Proceedings of the Annual ACM Symposium on User Interface Software and Technology,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Looking at Pictures,Diana,Simple,Simple Graph,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:51 PM",,Heuristic (force-directed),Heuristic,Interaction,Algorithm,,,Natkamon,ACM,An interactive constraint-based system for drawing graphs,,https://doi.org/10.1145/263407.263521,Proceedings of the 10th Annual ACM Symposium on User Interface Software and Technology,,,1997,,
10.5555/857080.857084,"Area, Aspect Ratio, Minimum Enclosing Space, Perimeter",Drawing,"Aspect Ratio, Total Area",,Agnostic,"Pulo, Kevin, Takatsuka, Masahiro",pulo_inclusion_2003,Henry,Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 24,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Computational (Aesthetic),Natkamon,Planar,Planar,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:48 PM",,Heuristic (geometric),Heuristic,Layout,Algorithm,,,Natkamon,ACM,Inclusion tree layout convention: an empirical investigation,,https://dl.acm.org/doi/pdf/10.5555/857080.857084,Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 24,Tree,Space-Filling,2003,,
10.1145/1059981.1059984,,,,,,"Xu, Jennifer J., Chen, Hsinchun",,Henry,ACM Trans Inf Syst,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 3:32 PM",,,,,,,,Natkamon,ACM,CrimeNet explorer: a framework for criminal network knowledge discovery,,https://doi.org/10.1145/1059981.1059984,ACM Trans. Inf. Syst.,,,2005,,
